"a_priori_knowledge__yes","a_priori_knowledge__no","a_priori_knowledge__other","abstract_objects__platonism","abstract_objects__nominalism","abstract_objects__other","aesthetic_value__objective","aesthetic_value__subjective","aesthetic_value__other","aim_of_philosophy__truth_knowledge","aim_of_philosophy__understanding","aim_of_philosophy__wisdom","aim_of_philosophy__happiness","aim_of_philosophy__goodness_justice","aim_of_philosophy__other","analytic_synthetic_distinction__yes","analytic_synthetic_distinction__no","analytic_synthetic_distinction__other","eating_animals_and_animal_products__omnivorism","eating_animals_and_animal_products__vegetarianism","eating_animals_and_animal_products__veganism","eating_animals_and_animal_products__other","epistemic_justification__internalism","epistemic_justification__externalism","epistemic_justification__other","experience_machine__yes","experience_machine__no","experience_machine__other","external_world__idealism","external_world__skepticism","external_world__non_skeptical_realism","external_world__other","footbridge__push","footbridge__dont_push","footbridge__other","free_will__compatibilism","free_will__libertarianism","free_will__no_free_will","free_will__other","gender__biological","gender__psychological","gender__social","gender__unreal","gender__other","god__theism","god__atheism","god__other","knowledge_claims__contextualism","knowledge_claims__relativism","knowledge_claims__invariantism","knowledge_claims__other","knowledge__empiricism","knowledge__rationalism","knowledge__other","laws_of_nature__humean","laws_of_nature__non_humean","laws_of_nature__other","logic__classical","logic__non_classical","logic__other","meaning_of_life__subjective","meaning_of_life__objective","meaning_of_life__nonexistent","meaning_of_life__other","mental_content__internalism","mental_content__externalism","mental_content__other","meta_ethics__moral_realism","meta_ethics__moral_anti_realism","meta_ethics__other","metaphilosophy__naturalism","metaphilosophy__non_naturalism","metaphilosophy__other","mind__physicalism","mind__non_physicalism","mind__other","moral_judgment__cognitivism","moral_judgment__non_cognitivism","moral_judgment__other","moral_motivation__internalism","moral_motivation__externalism","moral_motivation__other","newcombs_problem__one_box","newcombs_problem__two_boxes","newcombs_problem__other","normative_ethics__deontology","normative_ethics__consequentialism","normative_ethics__virtue_ethics","normative_ethics__other","perceptual_experience__disjunctivism","perceptual_experience__qualia_theory","perceptual_experience__representationalism","perceptual_experience__sense_datum_theory","perceptual_experience__other","personal_identity__biological_view","personal_identity__psychological_view","personal_identity__further_fact_view","personal_identity__other","philosophical_progress__none","philosophical_progress__a_little","philosophical_progress__a_lot","philosophical_progress__other","political_philosophy__communitarianism","political_philosophy__egalitarianism","political_philosophy__libertarianism","political_philosophy__other","proper_names__fregean","proper_names__millian","proper_names__other","race__biological","race__social","race__unreal","race__other","science__scientific_realism","science__scientific_anti_realism","science__other","teletransporter__survival","teletransporter__death","teletransporter__other","time__a_theory","time__b_theory","time__other","trolley_problem__switch","trolley_problem__dont_switch","trolley_problem__other","truth__correspondence","truth__deflationary","truth__epistemic","truth__other","vagueness__epistemic","vagueness__metaphysical","vagueness__semantic","vagueness__other","zombies__inconceivable","zombies__conceivable_but_not_possible","zombies__metaphysically_possible","zombies__other","abortion__permissible","abortion__impermissible","abortion__other","aesthetic_experience__perception","aesthetic_experience__pleasure","aesthetic_experience__sui_generis","aesthetic_experience__other","analysis_of_knowledge__justified_true_belief","analysis_of_knowledge__other_analysis","analysis_of_knowledge__no_analysis","analysis_of_knowledge__other","arguments_for_theism__cosmological","arguments_for_theism__design","arguments_for_theism__ontological","arguments_for_theism__pragmatic","arguments_for_theism__moral","arguments_for_theism__other","belief_or_credence__belief","belief_or_credence__credence","belief_or_credence__neither","belief_or_credence__other","capital_punishment__permissible","capital_punishment__impermissible","capital_punishment__other","causation__counterfactual_difference_making","causation__process_production","causation__primitive","causation__nonexistent","causation__other","chinese_room__understands","chinese_room__doesnt_understand","chinese_room__other","concepts__nativism","concepts__empiricism","concepts__other","consciousness__dualism","consciousness__eliminativism","consciousness__functionalism","consciousness__identity_theory","consciousness__panpsychism","consciousness__other","continuum_hypothesis__determinate","continuum_hypothesis__indeterminate","continuum_hypothesis__other","cosmological_fine_tuning__design","cosmological_fine_tuning__multiverse","cosmological_fine_tuning__brute_fact","cosmological_fine_tuning__no_fine_tuning","cosmological_fine_tuning__other","environmental_ethics__anthropocentric","environmental_ethics__non_anthropocentric","environmental_ethics__other","extended_mind__yes","extended_mind__no","extended_mind__other","foundations_of_mathematics__constructivism_intuitionism","foundations_of_mathematics__formalism","foundations_of_mathematics__logicism","foundations_of_mathematics__structuralism","foundations_of_mathematics__set_theoretic","foundations_of_mathematics__other","gender_categories__preserve","gender_categories__revise","gender_categories__eliminate","gender_categories__other","grounds_of_intentionality__causal_teleological","grounds_of_intentionality__inferential","grounds_of_intentionality__interpretational","grounds_of_intentionality__phenomenal","grounds_of_intentionality__primitive","grounds_of_intentionality__other","hard_problem_of_consciousness__yes","hard_problem_of_consciousness__no","hard_problem_of_consciousness__other","human_genetic_engineering__permissible","human_genetic_engineering__impermissible","human_genetic_engineering__other","hume__skeptic","hume__naturalist","hume__other","immortality__yes","immortality__no","immortality__other","interlevel_metaphysics__grounding","interlevel_metaphysics__identity","interlevel_metaphysics__realization","interlevel_metaphysics__supervenience","interlevel_metaphysics__other","justification__coherentism","justification__infinitism","justification__nonreliabilist_foundationalism","justification__reliabilism","justification__other","kant__one_world","kant__two_worlds","kant__other","law__legal_positivism","law__legal_non_positivism","law__other","material_composition__nihilism","material_composition__restrictivism","material_composition__universalism","material_composition__other","metaontology__heavyweight_realism","metaontology__deflationary_realism","metaontology__anti_realism","metaontology__other","method_in_history_of_philosophy__analytic_rational_reconstruction","method_in_history_of_philosophy__contextual_historicist","method_in_history_of_philosophy__other","method_in_political_philosophy__ideal_theory","method_in_political_philosophy__non_ideal_theory","method_in_political_philosophy__other","mind_uploading__survival","mind_uploading__death","mind_uploading__other","moral_principles__moral_generalism","moral_principles__moral_particularism","moral_principles__other","morality__non_naturalism","morality__naturalist_realism","morality__constructivism","morality__expressivism","morality__error_theory","morality__other","normative_concepts__fit","normative_concepts__ought","normative_concepts__reasons","normative_concepts__value","normative_concepts__other","ought_implies_can__yes","ought_implies_can__no","ought_implies_can__other","philosophical_knowledge__none","philosophical_knowledge__a_little","philosophical_knowledge__a_lot","philosophical_knowledge__other","plato__knowledge_only_of_forms","plato__knowledge_also_of_concrete_things","plato__other","politics__capitalism","politics__socialism","politics__other","possible_worlds__abstract","possible_worlds__concrete","possible_worlds__nonexistent","possible_worlds__other","practical_reason__aristotelian","practical_reason__humean","practical_reason__kantian","practical_reason__other","principle_of_sufficient_reason__true","principle_of_sufficient_reason__false","principle_of_sufficient_reason__other","properties__classes","properties__immanent_universals","properties__transcendent_universals","properties__tropes","properties__nonexistent","properties__other","propositional_attitudes__dispositional","propositional_attitudes__phenomenal","propositional_attitudes__representational","propositional_attitudes__nonexistent","propositional_attitudes__other","propositions__sets","propositions__structured_entities","propositions__simple_entities","propositions__acts","propositions__nonexistent","propositions__other","quantum_mechanics__collapse","quantum_mechanics__hidden_variables","quantum_mechanics__many_worlds","quantum_mechanics__epistemic","quantum_mechanics__other","race_categories__preserve","race_categories__revise","race_categories__eliminate","race_categories__other","rational_disagreement__non_permissivism","rational_disagreement__permissivism","rational_disagreement__other","response_to_external_world_skepticism__abductive","response_to_external_world_skepticism__contextualist","response_to_external_world_skepticism__dogmatist","response_to_external_world_skepticism__epistemic_externalist","response_to_external_world_skepticism__semantic_externalist","response_to_external_world_skepticism__pragmatic","response_to_external_world_skepticism__other","semantic_content__minimalism","semantic_content__moderate_contextualism","semantic_content__radical_contextualism","semantic_content__other","sleeping_beauty__one_third","sleeping_beauty__one_half","sleeping_beauty__other","spacetime__relationism","spacetime__substantivalism","spacetime__other","statue_and_lump__one_thing","statue_and_lump__two_things","statue_and_lump__other","temporal_ontology__presentism","temporal_ontology__eternalism","temporal_ontology__growing_block","temporal_ontology__other","theory_of_reference__causal","theory_of_reference__descriptive","theory_of_reference__deflationary","theory_of_reference__other","time_travel__metaphysically_possible","time_travel__metaphysically_impossible","time_travel__other","true_contradictions__impossible","true_contradictions__possible_but_non_actual","true_contradictions__actual","true_contradictions__other","units_of_selection__genes","units_of_selection__organisms","units_of_selection__other","values_in_science__necessarily_value_free","values_in_science__necessarily_value_laden","values_in_science__can_be_either","values_in_science__other","well_being__hedonism_experientialism","well_being__desire_satisfaction","well_being__objective_list","well_being__other","wittgenstein__early","wittgenstein__late","wittgenstein__other","other_minds__|","other_minds__|__reject","other_minds__other","philosophical_methods__|","philosophical_methods__|__reject","philosophical_methods__other"
"72.8","18.5","8.7","38.4","41.9","19.7","43.5","40.6","18.9","42.2","55.8","31.2","12.6","22.7","10.8","62.5","25.8","11.9","48.0","26.5","18.4","9.9","35.7","50.5","18.0","13.3","76.9","9.7","6.6","5.4","79.5","9.8","22.0","56.0","22.0","59.2","18.8","11.2","11.4","29.0","21.5","63.1","4.2","14.8","18.9","66.9","14.0","54.6","5.4","25.5","16.4","43.9","33.5","27.6","31.3","54.3","14.9","53.6","26.4","24.2","33.0","32.1","16.1","23.6","26.4","58.1","19.6","62.1","26.1","11.8","50.2","31.1","19.1","51.9","32.1","15.9","69.3","20.7","10.3","41.0","39.3","22.0","31.2","39.0","30.2","32.1","30.6","37.0","18.2","15.6","15.1","39.3","5.0","28.1","19.1","43.7","14.9","26.6","3.8","46.6","41.7","8.4","27.3","44.0","13.4","20.5","36.1","38.7","25.5","18.7","63.4","15.0","13.3","72.4","15.0","12.8","35.2","40.1","24.8","27.2","38.2","36.2","63.4","13.3","23.4","51.4","24.5","10.2","16.8","24.2","20.8","52.1","15.6","16.4","36.5","24.4","22.5","81.7","13.1","5.4","28.2","14.2","37.2","24.4","23.6","32.2","30.6","13.9","20.9","17.7","8.9","14.2","9.4","25.2","30.6","31.3","19.5","19.3","17.7","75.1","7.1","37.2","22.5","20.5","4.1","20.6","17.8","67.1","14.9","28.1","50.3","25.1","22.0","4.5","33.0","13.3","7.5","22.7","37.7","28.7","33.7","17.3","15.1","32.1","21.7","17.8","42.2","50.7","8.9","51.3","37.1","11.8","15.3","6.2","11.8","21.2","15.3","34.3","20.4","50.9","16.3","15.3","34.7","9.5","15.1","12.6","13.7","22.3","62.4","29.8","7.9","64.2","19.5","16.1","36.5","54.9","15.8","44.9","41.3","13.6","29.1","11.5","21.0","24.7","28.3","23.7","2.0","25.2","33.6","21.8","45.4","34.9","20.1","39.5","45.0","16.0","8.2","35.0","27.4","30.1","38.6","28.1","11.9","21.6","60.8","44.4","12.0","32.4","58.0","18.8","27.5","54.2","18.4","54.6","33.7","12.9","26.6","31.6","20.8","10.6","5.3","11.6","7.3","14.2","25.4","37.4","24.5","62.9","28.3","9.0","3.6","32.5","56.2","8.1","52.8","28.2","19.2","29.5","53.0","19.3","54.8","4.6","30.0","10.9","38.7","30.6","18.9","16.1","35.9","45.7","18.5","11.5","20.6","19.8","15.3","8.1","29.1","31.5","6.9","46.5","3.5","18.9","8.4","38.3","6.9","8.1","15.4","25.0","17.1","21.9","19.4","12.8","32.0","8.2","32.3","40.4","20.8","19.4","70.2","10.5","22.1","10.7","13.4","18.9","8.4","22.8","17.2","9.4","52.5","25.5","13.1","27.7","18.6","53.4","45.4","27.5","27.0","30.1","41.8","28.1","18.4","39.9","17.0","24.9","46.3","22.1","15.1","21.6","42.3","41.0","16.7","71.4","4.8","12.4","11.7","43.5","43.1","23.3","17.7","44.0","31.1","7.2","12.7","18.6","53.2","20.1","24.6","57.5","17.2","adult_humans","0.2","4.7","conceptual_analysis","11.6","7.2"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","cats","3.9","","conceptual_engineering","20.6",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","fish","14.7","","empirical_philosophy","14.5",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","flies","38.4","","experimental_philosophy","35.9",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","worms","46.6","","formal_philosophy","12.9",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","plants","79.7","","intuition_based_philosophy","29.0",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","particles","89.1","","linguistic_philosophy","21.5",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","newborn_babies","4.9","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","current_ai_systems","82.4","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","future_ai_systems","26.8","","","",""
